variant,cluster,attack_cat,count
with_ttl,0,Analysis,0
with_ttl,0,Backdoor,0
with_ttl,0,DoS,0
with_ttl,0,Exploits,1
with_ttl,0,Fuzzers,0
with_ttl,0,Generic,0
with_ttl,0,Normal,2031
with_ttl,0,Reconnaissance,0
with_ttl,0,Shellcode,0
with_ttl,0,Worms,0
with_ttl,1,Analysis,0
with_ttl,1,Backdoor,0
with_ttl,1,DoS,0
with_ttl,1,Exploits,0
with_ttl,1,Fuzzers,0
with_ttl,1,Generic,0
with_ttl,1,Normal,49
with_ttl,1,Reconnaissance,0
with_ttl,1,Shellcode,0
with_ttl,1,Worms,0
with_ttl,2,Analysis,2
with_ttl,2,Backdoor,35
with_ttl,2,DoS,100
with_ttl,2,Exploits,727
with_ttl,2,Fuzzers,866
with_ttl,2,Generic,21
with_ttl,2,Normal,686
with_ttl,2,Reconnaissance,480
with_ttl,2,Shellcode,75
with_ttl,2,Worms,42
with_ttl,3,Analysis,127
with_ttl,3,Backdoor,118
with_ttl,3,DoS,127
with_ttl,3,Exploits,126
with_ttl,3,Fuzzers,408
with_ttl,3,Generic,100
with_ttl,3,Normal,173
with_ttl,3,Reconnaissance,209
with_ttl,3,Shellcode,67
with_ttl,3,Worms,6
with_ttl,4,Analysis,0
with_ttl,4,Backdoor,0
with_ttl,4,DoS,0
with_ttl,4,Exploits,1
with_ttl,4,Fuzzers,25
with_ttl,4,Generic,259
with_ttl,4,Normal,38
with_ttl,4,Reconnaissance,0
with_ttl,4,Shellcode,0
with_ttl,4,Worms,0
with_ttl,5,Analysis,0
with_ttl,5,Backdoor,9
with_ttl,5,DoS,7
with_ttl,5,Exploits,23
with_ttl,5,Fuzzers,2
with_ttl,5,Generic,1
with_ttl,5,Normal,971
with_ttl,5,Reconnaissance,4
with_ttl,5,Shellcode,0
with_ttl,5,Worms,0
with_ttl,6,Analysis,0
with_ttl,6,Backdoor,0
with_ttl,6,DoS,2
with_ttl,6,Exploits,68
with_ttl,6,Fuzzers,12
with_ttl,6,Generic,0
with_ttl,6,Normal,92
with_ttl,6,Reconnaissance,0
with_ttl,6,Shellcode,0
with_ttl,6,Worms,0
with_ttl,7,Analysis,1
with_ttl,7,Backdoor,0
with_ttl,7,DoS,33
with_ttl,7,Exploits,269
with_ttl,7,Fuzzers,137
with_ttl,7,Generic,5
with_ttl,7,Normal,63
with_ttl,7,Reconnaissance,0
with_ttl,7,Shellcode,0
with_ttl,7,Worms,0
with_ttl,8,Analysis,47
with_ttl,8,Backdoor,4
with_ttl,8,DoS,82
with_ttl,8,Exploits,415
with_ttl,8,Fuzzers,3
with_ttl,8,Generic,23
with_ttl,8,Normal,335
with_ttl,8,Reconnaissance,5
with_ttl,8,Shellcode,0
with_ttl,8,Worms,3
with_ttl,9,Analysis,0
with_ttl,9,Backdoor,0
with_ttl,9,DoS,15
with_ttl,9,Exploits,161
with_ttl,9,Fuzzers,0
with_ttl,9,Generic,4
with_ttl,9,Normal,172
with_ttl,9,Reconnaissance,0
with_ttl,9,Shellcode,0
with_ttl,9,Worms,6
with_ttl,10,Analysis,0
with_ttl,10,Backdoor,0
with_ttl,10,DoS,0
with_ttl,10,Exploits,1
with_ttl,10,Fuzzers,0
with_ttl,10,Generic,0
with_ttl,10,Normal,0
with_ttl,10,Reconnaissance,0
with_ttl,10,Shellcode,0
with_ttl,10,Worms,0
with_ttl,11,Analysis,10
with_ttl,11,Backdoor,16
with_ttl,11,DoS,17
with_ttl,11,Exploits,11
with_ttl,11,Fuzzers,23
with_ttl,11,Generic,3
with_ttl,11,Normal,32
with_ttl,11,Reconnaissance,14
with_ttl,11,Shellcode,0
with_ttl,11,Worms,0
without_ttl,0,Analysis,115
without_ttl,0,Backdoor,113
without_ttl,0,DoS,208
without_ttl,0,Exploits,880
without_ttl,0,Fuzzers,725
without_ttl,0,Generic,223
without_ttl,0,Normal,2198
without_ttl,0,Reconnaissance,364
without_ttl,0,Shellcode,94
without_ttl,0,Worms,53
without_ttl,1,Analysis,0
without_ttl,1,Backdoor,0
without_ttl,1,DoS,0
without_ttl,1,Exploits,0
without_ttl,1,Fuzzers,0
without_ttl,1,Generic,0
without_ttl,1,Normal,27
without_ttl,1,Reconnaissance,0
without_ttl,1,Shellcode,0
without_ttl,1,Worms,0
